date,mindState,sleep
2024-12-23,2,7.77
2024-12-21,2,4.72
2024-12-18,1,7.5
2024-12-17,1,8.62
2024-12-16,1,8.15
2024-12-15,2,7.52
2024-12-14,2,7.87
2024-12-13,3,5.33
2024-12-12,1,8.4
2024-12-11,-1,8.25
2024-12-10,0,8.22
2024-12-09,-1,8.65
2024-12-08,1,8.02
2024-12-07,1,8.42
2024-12-06,2,5.85
2024-12-05,2,8.67
2024-12-04,1,6.22
2024-12-03,1,7.33
2024-12-02,0,5.32
2024-12-01,1,8.27
2024-11-30,0,6.82
2024-11-29,1,7.88
2024-11-28,-1,7.23
2024-11-27,-1,6.95
2024-11-26,-1,7.48
2024-11-25,-1,7.28
2024-11-24,0,6.2
2024-11-23,1,6.8
2024-11-22,1,7.52
2024-11-21,-1,7.07
2024-11-20,0,6.83
2024-11-19,-1,7.2
2024-11-18,0,7.4
2024-11-17,2,7.08
2024-11-16,1,9.08
2024-11-15,1,7.5
2024-11-14,2,7.38
2024-11-13,0,7.48
2024-11-12,2,7.53
2024-11-11,-1,7.2
2024-11-10,1,8.18
2024-11-09,1,7.82
2024-11-08,1,8.37
2024-11-07,1,7.58
2024-11-06,1,7.22
2024-11-05,1,7.55
2024-11-04,1,5.9
2024-11-03,1,9.28
2024-11-02,2,6.18
2024-11-01,2,7.13
2024-10-31,1,7.57
2024-10-30,1,7.4
2024-10-29,1,6.82
2024-10-28,-1,6.83
2024-10-27,-1,7.77
2024-10-26,2,7.38
2024-10-25,2,7.75
2024-10-24,3,7.17
2024-10-23,2,7.3
2024-10-22,2,8.25
2024-10-21,-2,7.75
2024-10-20,1,6.5
2024-10-19,2,7.7
2024-10-18,1,7.37
2024-10-17,2,7.98
2024-10-16,1,7.23
2024-10-15,-3,7.85
2024-10-14,2,7.45
2024-10-13,0,8.12
2024-10-12,1,7.93
2024-10-11,0,7.88
2024-10-10,0,8.07
2024-10-09,-2,5.85
2024-10-08,2,7.78
2024-10-07,1,5.7
